text,category
"The coffee cups have not been washed",HOUSEKEEPING
"I need a new bathrobe",HOUSEKEEPING
"There are crumbs on the desk",HOUSEKEEPING
"Please vacuum the room",HOUSEKEEPING
"The windows are very dirty",HOUSEKEEPING
"I need an extra set of slippers",HOUSEKEEPING
"The pillow cases need to be changed",HOUSEKEEPING
"There is a bug in my room",HOUSEKEEPING
"The room has not been serviced since yesterday",HOUSEKEEPING
"Please bring more shampoo and soap",HOUSEKEEPING
"The towels smell musty",HOUSEKEEPING
"There are water marks on the glass table",HOUSEKEEPING
"I need an ironing board brought to my room",HOUSEKEEPING
"The duvet cover has a hole in it",HOUSEKEEPING
"Please clean the balcony area",HOUSEKEEPING
"There are ants near the window",HOUSEKEEPING
"The ashtray on the balcony hasn't been cleaned",HOUSEKEEPING
"I need a baby cot set up in the room",HOUSEKEEPING
"The bathroom floor is slippery and dirty",HOUSEKEEPING
"Please provide more drinking water bottles",HOUSEKEEPING
"Les serviettes n'ont pas été changées",HOUSEKEEPING
"La chambre n'a pas été nettoyée",HOUSEKEEPING
"Il manque du papier toilette",HOUSEKEEPING
"J'ai besoin d'oreillers supplémentaires",HOUSEKEEPING
"Le lit n'a pas été fait",HOUSEKEEPING
"Il y a de la poussière partout",HOUSEKEEPING
"Les draps sont tachés",HOUSEKEEPING
"Veuillez nettoyer la salle de bain",HOUSEKEEPING
"Il y a un insecte dans la chambre",HOUSEKEEPING
"J'ai besoin de couvertures supplémentaires",HOUSEKEEPING
"The laundry bag is missing from the room",HOUSEKEEPING
"Please bring extra tea and coffee supplies",HOUSEKEEPING
"The mattress has a stain on it",HOUSEKEEPING
"I need the do not disturb sign replaced",HOUSEKEEPING
"The tissue box in the room is empty",HOUSEKEEPING
"Please change the shower mat",HOUSEKEEPING
"Can I get an extra bed sheet",HOUSEKEEPING
"The room service tray hasn't been picked up",HOUSEKEEPING
"Please bring more hand soap and conditioner",HOUSEKEEPING
"The room needs to be vacuumed urgently",HOUSEKEEPING
"I found a cockroach in the bathroom",HOUSEKEEPING
"The bin bags need to be replaced",HOUSEKEEPING
"The bedspread has not been washed",HOUSEKEEPING
"There are cobwebs in the corner of the room",HOUSEKEEPING
"I need a new set of bath towels",HOUSEKEEPING
"The glasses in the minibar area are dirty",HOUSEKEEPING
"We need more clean towels for the pool",HOUSEKEEPING
"The sheets on the bed are wrinkled and not fresh",HOUSEKEEPING
"Can we get the room cleaned before 3 PM",HOUSEKEEPING
"There are no clean cups or glasses in the room",HOUSEKEEPING
"The soap dispenser in the bathroom is empty",HOUSEKEEPING
"I need fresh pillowcases please",HOUSEKEEPING
"The blanket has a strange odor",HOUSEKEEPING
"Please empty the trash can in the bathroom",HOUSEKEEPING
"The room needs dusting it has not been touched",HOUSEKEEPING
"Can I get more body wash and lotion",HOUSEKEEPING
"The laundry I sent has not been returned",HOUSEKEEPING
"The cleaning staff skipped our room today",HOUSEKEEPING
"There is toothpaste residue all over the sink",HOUSEKEEPING
"Please replace the used towels with clean ones",HOUSEKEEPING
"I would like extra toilet rolls please",HOUSEKEEPING
"The bed was not made when we returned",HOUSEKEEPING
"Can you send someone to clean the carpet stain",HOUSEKEEPING
"We need more hangers for our clothes",HOUSEKEEPING
"The shower curtain needs to be replaced it is dirty",HOUSEKEEPING
"Il manque du savon dans la salle de bain",HOUSEKEEPING
"Les serviettes de bain sont sales",HOUSEKEEPING
"La chambre a besoin d'être aspirée",HOUSEKEEPING
"Il n'y a plus de shampoing",HOUSEKEEPING
"Les draps du lit sentent mauvais",HOUSEKEEPING
"Pouvez-vous changer les taies d'oreiller",HOUSEKEEPING
"La poubelle de la chambre est pleine",HOUSEKEEPING
"Il y a des cafards dans la chambre",HOUSEKEEPING
"Je voudrais des serviettes propres",HOUSEKEEPING
"Le ménage n'a pas été fait aujourd'hui",HOUSEKEEPING
"I would like to request a late checkout",RECEPTION
"Can I extend my stay for one more night",RECEPTION
"I need help with my reservation",RECEPTION
"I want to change my room",RECEPTION
"Can you store my luggage after checkout",RECEPTION
"I have a problem with my booking",RECEPTION
"I would like an early check-in please",RECEPTION
"Please call a taxi for me",RECEPTION
"I need a copy of my invoice",RECEPTION
"My reservation is under a different name",RECEPTION
"Can I upgrade to a suite",RECEPTION
"I need to arrange a taxi to the pharmacy",RECEPTION
"What time is checkout",RECEPTION
"Can I get a wake-up call at 6 AM",RECEPTION
"I lost my room key card",RECEPTION
"I need an extra key for my companion",RECEPTION
"Can you arrange a shuttle to the airport for us",RECEPTION
"I want to book a guided tour of the city",RECEPTION
"I want to file a complaint about billing",RECEPTION
"There is an error on my bill",RECEPTION
"I was charged twice for my room",RECEPTION
"Can I pay with a different credit card",RECEPTION
"Please add my loyalty membership number",RECEPTION
"I need a receipt for my company",RECEPTION
"Is breakfast included in my reservation",RECEPTION
"Can I get a room with a sea view",RECEPTION
"I need to cancel my reservation",RECEPTION
"Can I leave a message for another guest",RECEPTION
"Can you arrange a car rental for me",RECEPTION
"I want to change my checkout date",RECEPTION
"I need a doctor recommendation nearby",RECEPTION
"Please forward my mail to my home address",RECEPTION
"I need to check in early is that possible",RECEPTION
"Can I have a crib added to the room",RECEPTION
"Je voudrais un late checkout s'il vous plaît",RECEPTION
"Je souhaite prolonger mon séjour",RECEPTION
"Pouvez-vous appeler un taxi",RECEPTION
"Il y a une erreur sur ma facture",RECEPTION
"Je voudrais changer de chambre",RECEPTION
"Pouvez-vous garder mes bagages",RECEPTION
"J'ai perdu ma carte de chambre",RECEPTION
"À quelle heure est le checkout",RECEPTION
"Je voudrais annuler ma réservation",RECEPTION
"Can you print my boarding pass",RECEPTION
"Is there a currency exchange at the hotel",RECEPTION
"Can I get a late checkout until 2 PM",RECEPTION
"I need to reserve the business center for a meeting",RECEPTION
"Do you have a conference room available",RECEPTION
"I need a parking spot for my car",RECEPTION
"Can you help me book a tour",RECEPTION
"Can you help me book a flight",RECEPTION
"I need you to move me to a room away from the elevator",RECEPTION
"I want to pay the security deposit for my room",RECEPTION
"I have a special request for my anniversary can you arrange flowers",RECEPTION
"I want to cancel my booking what is the refund process",RECEPTION
"I need a tax invoice for my company",RECEPTION
"Can I check in with my passport instead of ID card",RECEPTION
"I would like to extend my stay by two more nights",RECEPTION
"Can you change my room to a higher floor",RECEPTION
"I need a copy of my hotel receipt for reimbursement",RECEPTION
"My booking shows wrong dates can you fix it",RECEPTION
"I would like to request a room change to a quieter area",RECEPTION
"Can you add another guest to my reservation",RECEPTION
"I need to update the credit card on my reservation",RECEPTION
"Where do I pick up my luggage after checkout",RECEPTION
"I want to pay the bill for my entire stay now",RECEPTION
"Can you arrange airport transfer for tomorrow morning",RECEPTION
"I need a document confirming my stay for visa purposes",RECEPTION
"Is it possible to get an invoice split into two",RECEPTION
"I want to check out but the system shows wrong charges",RECEPTION
"Can I leave my bags at reception until my flight",RECEPTION
"Je voudrais une facture séparée pour le séjour",RECEPTION
"Pouvez-vous modifier ma réservation",RECEPTION
"J'ai besoin d'un justificatif de séjour",RECEPTION
"Le montant sur ma facture est incorrect",RECEPTION
"Je souhaite changer la date de mon départ",RECEPTION
"Pouvez-vous organiser un transfert vers l'aéroport",RECEPTION
"J'ai besoin d'une clé supplémentaire pour ma chambre",RECEPTION
"I would like to book a table for dinner",RESTAURANT
"The food was cold when it arrived",RESTAURANT
"Can I see the room service menu",RESTAURANT
"What time does breakfast start",RESTAURANT
"I have a food allergy please note it",RESTAURANT
"The restaurant is too noisy",RESTAURANT
"I ordered room service an hour ago still waiting",RESTAURANT
"Can I get a vegetarian meal option",RESTAURANT
"The coffee machine in the lounge is broken",RESTAURANT
"I want to make a reservation for the restaurant",RESTAURANT
"Is there a kids menu available",RESTAURANT
"The portion size was very small",RESTAURANT
"Can I order breakfast to my room",RESTAURANT
"The juice at breakfast was not fresh",RESTAURANT
"I found a hair in my food",RESTAURANT
"Can I have gluten-free bread for breakfast",RESTAURANT
"The waiter was very rude to us",RESTAURANT
"We waited 45 minutes for our food",RESTAURANT
"The steak was overcooked",RESTAURANT
"Is room service available 24 hours",RESTAURANT
"Can I get a birthday cake for tonight",RESTAURANT
"The dinner menu is too limited",RESTAURANT
"I need a high chair for my child",RESTAURANT
"The soup was too salty",RESTAURANT
"Can I order a bottle of wine to my room",RESTAURANT
"There are no vegan options on the menu",RESTAURANT
"Breakfast buffet was not replenished",RESTAURANT
"The eggs at breakfast were undercooked",RESTAURANT
"We need a table for six people tonight",RESTAURANT
"The bar closes too early",RESTAURANT
"Room service forgot my dessert",RESTAURANT
"The food quality has declined since last visit",RESTAURANT
"I would like to order a fruit platter",RESTAURANT
"The water served at dinner was not cold",RESTAURANT
"Can we have a table by the window",RESTAURANT
"The restaurant staff ignored us for 20 minutes",RESTAURANT
"I want to complain about the breakfast quality",RESTAURANT
"Is there a halal food option",RESTAURANT
"Can I get a late dinner reservation at 10 PM",RESTAURANT
"The cocktail I ordered was wrong",RESTAURANT
"The restaurant was not clean",RESTAURANT
"Le petit-déjeuner était froid",RESTAURANT
"Je voudrais réserver une table pour ce soir",RESTAURANT
"Le service au restaurant était très lent",RESTAURANT
"J'ai une allergie alimentaire",RESTAURANT
"La nourriture n'était pas bonne",RESTAURANT
"Il n'y a pas d'options végétariennes",RESTAURANT
"Le serveur était impoli",RESTAURANT
"Je voudrais commander le room service",RESTAURANT
"Le café du petit-déjeuner était tiède",RESTAURANT
"Pouvez-vous apporter un menu enfant",RESTAURANT
"The pasta was tasteless",RESTAURANT
"I'd like to order a cheese platter for the room",RESTAURANT
"The fish at dinner tasted off",RESTAURANT
"We were given the wrong order",RESTAURANT
"The dessert menu was unavailable",RESTAURANT
"Breakfast ended too early today",RESTAURANT
"The smoothie bar was closed during breakfast",RESTAURANT
"Can I get soy milk with my cereal",RESTAURANT
"The bread at breakfast was stale",RESTAURANT
"I want to order a full English breakfast",RESTAURANT
"Can I get a lactose-free milk option",RESTAURANT
"The toast at breakfast was burnt",RESTAURANT
"Is there a set menu for lunch",RESTAURANT
"Can I have extra butter and jam at breakfast",RESTAURANT
"The restaurant air conditioning is too cold",RESTAURANT
"When does the bar open in the evening",RESTAURANT
"The food presentation was disappointing",RESTAURANT
"Can I order dinner to be delivered to my room",RESTAURANT
"The breakfast selection is very limited",RESTAURANT
"I would like to reserve a private dining room",RESTAURANT
"The coffee at the restaurant was terrible",RESTAURANT
"Is there a brunch menu on weekends",RESTAURANT
"We found an insect in the salad",RESTAURANT
"The menu does not have enough choices",RESTAURANT
"Can I get a packed lunch for my excursion tomorrow",RESTAURANT
"The buffet ran out of food before closing time",RESTAURANT
"I ordered a medium steak but it came well done",RESTAURANT
"Le dessert que j'ai commandé n'est jamais arrivé",RESTAURANT
"La qualité du petit-déjeuner a baissé",RESTAURANT
"Je voudrais un menu sans gluten",RESTAURANT
"Le restaurant ferme trop tôt le soir",RESTAURANT
"La carte des vins est très limitée",RESTAURANT
"I am very disappointed with the service",COMPLAINT
"This is the worst hotel I have ever stayed in",COMPLAINT
"The noise from the construction is unbearable",COMPLAINT
"I feel unsafe in this hotel",COMPLAINT
"The staff was extremely rude",COMPLAINT
"I have been waiting for hours and nobody came",COMPLAINT
"This hotel does not meet its advertised standards",COMPLAINT
"The room does not match the photos online",COMPLAINT
"I want to speak with the manager",COMPLAINT
"I am going to leave a negative review",COMPLAINT
"The service quality is unacceptable",COMPLAINT
"I paid a premium price for a terrible experience",COMPLAINT
"Nobody is answering my calls for help",COMPLAINT
"I have complained three times and nothing has been done",COMPLAINT
"The walls are paper thin I can hear everything",COMPLAINT
"I was promised a quiet room but it is very noisy",COMPLAINT
"The hotel is falsely advertised",COMPLAINT
"I want a full refund for my stay",COMPLAINT
"The neighbors are extremely loud at night",COMPLAINT
"I cannot sleep because of the noise",COMPLAINT
"The front desk staff was unhelpful and dismissive",COMPLAINT
"I was given a dirty room despite paying for a premium",COMPLAINT
"The hotel smells terrible in the hallways",COMPLAINT
"Security did nothing about the noise complaint",COMPLAINT
"I have been overcharged and nobody is helping",COMPLAINT
"The room is much smaller than advertised",COMPLAINT
"I am very unsatisfied with my stay overall",COMPLAINT
"This is a terrible experience I want compensation",COMPLAINT
"The hotel staff showed no respect",COMPLAINT
"I feel like my complaints are being ignored",COMPLAINT
"There was a party on my floor until 3 AM",COMPLAINT
"I specifically requested a non-smoking room but it smells like smoke",COMPLAINT
"The check-in process was chaotic and disorganized",COMPLAINT
"I was treated poorly compared to other guests",COMPLAINT
"I expected much better for the price I paid",COMPLAINT
"The hotel does not care about customer satisfaction",COMPLAINT
"I am going to report this hotel to consumer protection",COMPLAINT
"Nobody apologized for the inconvenience caused",COMPLAINT
"My experience has been absolutely horrible",COMPLAINT
"The management is unresponsive to complaints",COMPLAINT
"Je suis très mécontent du service",COMPLAINT
"L'hôtel ne correspond pas aux photos",COMPLAINT
"Le bruit est insupportable",COMPLAINT
"Je veux parler au directeur",COMPLAINT
"Je demande un remboursement complet",COMPLAINT
"Le personnel est impoli et désagréable",COMPLAINT
"C'est inacceptable pour le prix payé",COMPLAINT
"Personne ne répond à mes appels",COMPLAINT
"Je vais laisser un avis négatif",COMPLAINT
"Je suis déçu par la qualité du service",COMPLAINT
"The view from my room is blocked by construction",COMPLAINT
"I was promised a king bed but got two singles",COMPLAINT
"The hotel has hidden fees that were not disclosed",COMPLAINT
"The cleanliness standards are below expectations",COMPLAINT
"I waited 30 minutes at the front desk to check in",COMPLAINT
"The parking situation is terrible",COMPLAINT
"The pool area was filthy and overcrowded",COMPLAINT
"I was moved to a different room without notice",COMPLAINT
"This hotel needs serious improvement",COMPLAINT
"This is absolutely unacceptable behavior from staff",COMPLAINT
"I was kept waiting without any explanation",COMPLAINT
"The hotel misrepresented the room category",COMPLAINT
"My privacy was violated by housekeeping",COMPLAINT
"The construction noise ruined my entire stay",COMPLAINT
"I feel discriminated against by the staff",COMPLAINT
"I have never experienced such poor service",COMPLAINT
"The management refused to address my concern",COMPLAINT
"I am extremely frustrated with this hotel",COMPLAINT
"Your service is a disgrace to the hospitality industry",COMPLAINT
"I will never stay at this hotel again",COMPLAINT
"The overall experience was deeply disappointing",COMPLAINT
"I demand to speak with someone in charge immediately",COMPLAINT
"This stay has been a nightmare from start to finish",COMPLAINT
"The standards here are far below what was advertised",COMPLAINT
"Je n'ai jamais vu un service aussi mauvais",COMPLAINT
"C'est une honte pour un hôtel de ce prix",COMPLAINT
"Je suis furieux personne ne s'occupe de moi",COMPLAINT
"L'expérience a été catastrophique du début à la fin",COMPLAINT
"Je veux une compensation pour ce séjour horrible",COMPLAINT
"Can someone help me with my luggage",OTHER
"Is there a laundry service available",OTHER
"Can I get an adapter for my charger",OTHER
"Where is the nearest supermarket",OTHER
"Do you have a lost and found",OTHER
"Can I use the gym facilities",OTHER
"Is there a spa in the hotel",OTHER
"Can you help me with directions",OTHER
"I left something in my previous room",OTHER
"Where can I buy souvenirs nearby",OTHER
"Is there a kids play area",OTHER
"Can I get a newspaper delivered to my room",OTHER
"What channels are available on the TV",OTHER
"Do you have a swimming pool",OTHER
"Is there parking available",OTHER
"Can I borrow an umbrella",OTHER
"Where is the ice machine on this floor",OTHER
"Do you have a gift shop",OTHER
"Can I store my valuables at the front desk",OTHER
"Where can I find an iron",OTHER
"Is there a dress code for the restaurant",OTHER
"Can I get a city map",OTHER
"Do you offer laundry pickup service",OTHER
"Where is the nearest bus stop",OTHER
"Is there a movie theater nearby",OTHER
"Can I request a specific room number",OTHER
"Do you have a business center",OTHER
"Is the hotel pet friendly",OTHER
"Can I get extra batteries for the remote",OTHER
"What events are happening in the area",OTHER
"Do you have a prayer room",OTHER
"Is there a smoking area",OTHER
"Can I use the hotel computer",OTHER
"Where can I rent a bicycle",OTHER
"Do you offer babysitting services",OTHER
"What is the voltage of the power outlets",OTHER
"Can I receive a package at the hotel",OTHER
"Is there an ATM inside the hotel",OTHER
"Where is the emergency exit",OTHER
"Où se trouve la piscine",OTHER
"Y a-t-il un service de blanchisserie",OTHER
"Avez-vous un adaptateur de prise",OTHER
"Où est le supermarché le plus proche",OTHER
"Y a-t-il un parking disponible",OTHER
"Pouvez-vous m'aider avec mes valises",OTHER
"Où se trouve la salle de sport",OTHER
"Y a-t-il un espace enfants",OTHER
"Où puis-je trouver un fer à repasser",OTHER
"L'hôtel accepte-t-il les animaux",OTHER
"Can I get late night snacks from somewhere",OTHER
"Is there a florist near the hotel",OTHER
"Do you have connecting rooms available",OTHER
"Can someone help me carry my bags",OTHER
"What is the best way to get to the airport",OTHER
"Is the breakfast area wheelchair accessible",OTHER
"Do you have a safe deposit box",OTHER
"Where can I do some shopping nearby",OTHER
"Can I get a rollaway bed for the room",OTHER
"Is there a pharmacy in the hotel",OTHER
"Where is the vending machine",OTHER
"Is there a coin laundry in the hotel",OTHER
"What are the spa operating hours",OTHER
"Do you have a shuttle to the city center",OTHER
"Where is the nearest post office",OTHER
"Do you have board games for guests",OTHER
"I need help please",OTHER
"Can someone contact me as soon as possible",OTHER
"I have a question about the hotel",OTHER
"Please call me when you have a moment",OTHER
"I need some assistance",OTHER
"Could you help me with something",OTHER
"I have a general inquiry",OTHER
"Is there anything you can do for me",OTHER
"I need information please",OTHER
"Can someone from the staff come to my room",OTHER
"I would like to ask about something",OTHER
"What services does the hotel offer",OTHER
"Can you tell me about the facilities here",OTHER
"I need to talk to someone please",OTHER
"Is there anything happening at the hotel today",OTHER
"Pouvez-vous m'aider s'il vous plaît",OTHER
"J'ai une question",OTHER
"Est-ce que quelqu'un peut venir m'aider",OTHER
"J'ai besoin d'informations",OTHER
"Pouvez-vous me rappeler quand possible",OTHER
"What time does the pool close",OTHER
"Where is the hotel spa located",OTHER
"What floor is the swimming pool on",OTHER
"Is there a gym in the hotel",OTHER
"Can I get a wake-up call service",OTHER
"Can I have a map of the area",OTHER
"What is the checkout procedure",OTHER
"Where is the nearest ATM",OTHER
"What is the Wi-Fi password",OTHER
"How do I connect to the hotel Wi-Fi",OTHER
"Can I get a copy of the hotel brochure",OTHER
"What are the pool hours",OTHER
"I need information about local restaurants",OTHER
"I need to send a fax urgently",OTHER
"I would like to check my reservation details",RECEPTION
"Can I get a different room with a bathtub",RECEPTION
"How much is the late checkout fee",RECEPTION
"I need to update the name on my reservation",RECEPTION
"Can you issue me a new key card",RECEPTION
"I want to settle my bill before departure",RECEPTION
"Is it possible to add breakfast to my booking",RECEPTION
"I need a confirmation email for my reservation",RECEPTION
"Can you book me a taxi for tomorrow at 8 AM",RECEPTION
"I want to discuss the charges on my invoice",RECEPTION
"Can I switch to a non-smoking room",RECEPTION
"My reservation was supposed to include airport pickup",RECEPTION
"I need to change my checkout to a day earlier",RECEPTION
"Can you hold my room for a few more hours",RECEPTION
"Where do I return the room keys at checkout",RECEPTION
"Can I pay my bill in cash",RECEPTION
"I need a letter confirming my hotel stay dates",RECEPTION
"My company will pay the bill can you arrange direct billing",RECEPTION
"I want to upgrade my room for the rest of my stay",RECEPTION
"Can I get an additional key card for my wife",RECEPTION
"I have lost something at the hotel can you check",RECEPTION
"Je voudrais régler ma facture maintenant",RECEPTION
"Pouvez-vous vérifier ma réservation",RECEPTION
"The entire hotel experience was a disaster",COMPLAINT
"I regret choosing this hotel for my vacation",COMPLAINT
"Nobody takes responsibility here for anything",COMPLAINT
"The attitude of the reception staff was appalling",COMPLAINT
"I feel completely ignored by the hotel staff",COMPLAINT
"The quality of this hotel has gone downhill significantly",COMPLAINT
"I am shocked at how poorly managed this hotel is",COMPLAINT
"The room I received is completely unacceptable",COMPLAINT
"I want to escalate this issue to senior management",COMPLAINT
"The hotel did not honor my confirmed reservation",COMPLAINT
"I am going to post about this terrible experience online",COMPLAINT
"The noise level at this hotel is beyond acceptable",COMPLAINT
"Nothing works properly in this hotel",COMPLAINT
"I was lied to about the room features",COMPLAINT
"This level of service is insulting for the price charged",COMPLAINT
"Staff refused to help me when I asked politely",COMPLAINT
"I feel unsafe walking through the hotel at night",COMPLAINT
"The condition of the hallways is disgusting",COMPLAINT
"I was promised a sea view room but got a parking lot view",COMPLAINT
"The staff attitude makes me want to leave immediately",COMPLAINT
"Je suis outré par le manque de professionnalisme",COMPLAINT
"C'est la pire expérience hôtelière de ma vie",COMPLAINT
"Le rapport qualité prix est catastrophique",COMPLAINT
"Can I get a fresh fruit bowl delivered to my room",RESTAURANT
"The milk at the breakfast buffet was warm",RESTAURANT
"Is there a poolside bar we can order drinks from",RESTAURANT
"The restaurant ran out of our main course selection",RESTAURANT
"Can we get separate checks for our table",RESTAURANT
"The portion of rice was way too small for the price",RESTAURANT
"I ordered a cappuccino but got an espresso instead",RESTAURANT
"Does the hotel offer a meal plan or half board",RESTAURANT
"The breakfast omelette station had a very long wait",RESTAURANT
"Can I order a kids meal for room service",RESTAURANT
"The restaurant needs more vegetarian main courses",RESTAURANT
"We were seated right next to the kitchen door it was noisy",RESTAURANT
"The champagne I ordered was not properly chilled",RESTAURANT
"Is it possible to arrange a candlelight dinner on the terrace",RESTAURANT
"The waiter forgot to bring the salt and pepper",RESTAURANT
"Le room service a oublié ma commande",RESTAURANT
"Est-ce qu'il y a un menu pour enfants au restaurant",RESTAURANT
"Where can I get a late night taxi from the hotel",OTHER
"What temperature is the swimming pool",OTHER
"Is there a library or reading room in the hotel",OTHER
"Do you have international plug adapters at the front desk",OTHER
"Where is the nearest post office",OTHER
